Tech,Health,Finance,Consumer,Energy,Weapons
1.126027891996988,1.0843719471256665,1.1816313423664262,1.2158945113755095,1.1362668786645618,1.0728081437244472
1.1204492066486207,1.0921962559930247,1.2029315745320275,1.2186165926323416,1.1272143253290785,1.0894191090609382
1.12764780865318,1.0952641083685624,1.2066079438623043,1.2169751650821858,1.1310740629107996,1.0862102478070805
1.1528708951735258,1.0981079519916692,1.2191125916021375,1.2455583529571534,1.130452275637306,1.0944716691341367
1.1426120897880452,1.1041456539352201,1.2197496528491494,1.244239631405428,1.1097331443471112,1.0902412821572005
1.1310095810365448,1.1031261613969876,1.2280491462865755,1.2488084461590936,1.128355132363715,1.097734138951255
1.1320429353490575,1.113025406739312,1.2388324290434005,1.2448442476245258,1.1257406166325103,1.1019019140355537
1.1095985311496301,1.109702483140657,1.2292867619454322,1.2238534580854319,1.122839250571498,1.063377575601203
1.1172419102551372,1.1128956721368248,1.2255933532354117,1.2329700889621011,1.1100820359864816,1.0749745002762203
1.0938451229318067,1.1287626232856438,1.2666931359181404,1.2275633300256834,1.1678703657810166,1.0817135762152699
1.127580514542516,1.1380050795996652,1.292246544596084,1.2369039418700658,1.197881357903502,1.0655636558245707
1.137312288186677,1.1362367447770965,1.2917002525948253,1.2438182573823746,1.2062891858943203,1.0541234905948944
1.1163281079105782,1.1384279071713748,1.3001575569180828,1.2378073192588046,1.2100452078336301,1.0632850889611394
1.107180599020467,1.125992166563081,1.3064979567817483,1.2259306816111795,1.2214814249481,1.0797627155705811
1.11724913994533,1.1197450273887213,1.3053358057009794,1.2264699556880543,1.2361974124064978,1.0807845511638507
1.1028818114307901,1.120414406168348,1.299202874673988,1.2102913458928046,1.263112875227742,1.0893491994528897
1.096352605782312,1.119913030613131,1.2783760744788122,1.2010109654207892,1.202798972224362,1.0775448673653412
1.116356773356865,1.1269393124575258,1.2735817451757476,1.2009298403731081,1.2297091015646167,1.069147045099317
1.162121333695486,1.1222240701805526,1.2708025994984695,1.2325775837636141,1.247812759304484,1.0675614509866087
1.1783026812258868,1.124957171113584,1.257996089435928,1.2290601069933773,1.2578331822406288,1.0594300078947918
1.1883620826149348,1.1220271340845578,1.2454801219618903,1.224281107875034,1.2510580510045202,1.0584348765490332
1.20526065022975,1.1353338323154143,1.233028810266148,1.217126998077828,1.2528075311835354,1.0568242572567486
1.21460968661131,1.1407846954483336,1.2305534751432454,1.2083585163748698,1.2347575958133972,1.0412236373438275
1.1942361222619569,1.112864167640964,1.1899462694533887,1.1693538670484542,1.1983617417469679,1.0333235052861853
1.197643415177073,1.1175510983133163,1.21005358955808,1.2021283550385218,1.2248207329016207,1.0435508401534124
1.1651941644430441,1.0996531535859144,1.186563076542307,1.1862292767050384,1.1830208797888229,1.0221007805588767
1.1983682557259483,1.0981498937127327,1.2040771170231916,1.2159440311607366,1.1844307799094125,1.0323904474261991
1.2061621383470502,1.0917561169898427,1.2393655513827622,1.2462331691859012,1.1925187658101701,1.0669946485145754
1.238629510126286,1.0876116261975768,1.2488700387477583,1.233839839476919,1.2154291066767218,1.0697717062159522
1.2460464155896782,1.0823023880372493,1.2868894266305257,1.250924836882943,1.2215267728299128,1.086890048313192
1.2516435884478714,1.08282190503165,1.2833517959571197,1.269007433326077,1.2332038722961318,1.0812684692000014
